Action, Timestamp
Read from "student" CSV, 2021.05.09 23:57:18
Read from "group" CSV, 2021.05.09 23:57:18
Read from "student" CSV, 2021.05.10 00:05:49
Read from "group" CSV, 2021.05.10 00:05:49
Add Series to list, 2021.05.10 00:06:20
Wrote to Series CSV, 2021.05.10 00:06:37
Read from "student" CSV, 2021.05.10 00:06:42
Read from "group" CSV, 2021.05.10 00:06:42
Read from "series" CSV, 2021.05.10 00:06:42
Add OptionalSubject to list, 2021.05.10 00:06:56
Wrote to OptionalSubject CSV, 2021.05.10 00:07:07
Add Group to list, 2021.05.10 00:41:16
Read from "Group" CSV, 2021.05.10 00:41:16
Add Series to list, 2021.05.10 00:41:19
Read from "Series" CSV, 2021.05.10 00:41:19
Add Curriculum to list, 2021.05.10 00:41:24
Read from "Curriculum" CSV, 2021.05.10 00:41:24
Add Student to list, 2021.05.10 00:41:29
Read from "Student" CSV, 2021.05.10 00:41:29
Add Subject to list, 2021.05.10 00:41:34
Read from "Subject" CSV, 2021.05.10 00:41:34
Add Student to list, 2021.05.10 00:41:38
Read from "Student" CSV, 2021.05.10 00:41:38
Read from "Student" CSV, 2021.05.10 00:42:24
Read from "Subject" CSV, 2021.05.10 00:42:25
Read from "OptionalSubject" CSV, 2021.05.10 00:42:25
Read from "Group" CSV, 2021.05.10 00:42:25
Read from "Series" CSV, 2021.05.10 00:42:25
Read from "Curriculum" CSV, 2021.05.10 00:42:25
Add Student to list, 2021.05.10 00:42:30
Read from "Student" CSV, 2021.05.10 00:42:30
Add Subject to list, 2021.05.10 00:42:33
Read from "Subject" CSV, 2021.05.10 00:42:33
Add OptionalSubject to list, 2021.05.10 00:42:38
Read from "OptionalSubject" CSV, 2021.05.10 00:42:38
Add Professor to list, 2021.05.10 00:42:43
Read from "Professor" CSV, 2021.05.10 00:42:43
Add Group to list, 2021.05.10 00:42:48
Read from "Group" CSV, 2021.05.10 00:42:48
Add Series to list, 2021.05.10 00:42:49
Read from "Series" CSV, 2021.05.10 00:42:49
Add Curriculum to list, 2021.05.10 00:42:52
Read from "Curriculum" CSV, 2021.05.10 00:42:52
Print Students from list, 2021.05.10 00:42:56
Print Subjects from list, 2021.05.10 00:42:57
Print OptionalSubjects from list, 2021.05.10 00:42:57
Print Professors from list, 2021.05.10 00:42:58
Print Groups from list, 2021.05.10 00:42:58
Print Series from list, 2021.05.10 00:42:58
Print Curricula from list, 2021.05.10 00:42:59
